Security Name (Fund);SPYI;AVWC
Arthur J. Gallagher & Co.;0,07917847;0,037921557
InterDigital Inc.;0,005467147;0,037859199
Expedia Group Inc.;0,010402675;0,037820923
Swiss Prime Site AG;0,002373254;0,037755614
Molina Healthcare Inc.;0,005969889;0,037728507
Fabrinet;0,014294654;0,037564008
Bridgestone Corporation;0,004841018;0,037563172
Renault SA;0,002601653;0,037558618
NetApp Inc.;0,090666699;0,037447902
Flughafen Zurich AG;0,003457495;0,03727928
Herc Holdings Inc.;0,00133233;0,037263532
Charter Communications Inc. Class A;0,051242857;0,037181883
Gartner Inc.;0,005131111;0,037114357
SkyWest Inc;0,002445449;0,03710537
Svenska Handelsbanken AB Class A;0,001181376;0,03703614
Insmed Incorporated;0,010831909;0,037001173
Cboe Global Markets Inc;0,009277742;0,036833112
Singapore Exchange Ltd.;0,003134585;0,036757011
Wolters Kluwer N.V.;0,003477184;0,036751814
SouthState Corporation;0,000660258;0,036665057
Inpex Corporation;0,002320748;0,036656437
AMETEK Inc.;0,003198905;0,036645357
Storebrand ASA;0,013012204;0,036588176
ACS Actividades de Construccion y Servicios SA;0,008092428;0,036523513
MARA Holdings Inc.;0,004346152;0,036315881
Cardinal Health Inc.;0,017233656;0,036111757
Humana Inc.;0,049222703;0,036041077
Western Alliance Bancorp;0,002087098;0,035978922
ResMed Inc.;0,099954942;0,035903637
Yokogawa Electric Corp.;0,006846732;0,035808355
Floor & Decor Holdings Inc. Class A;0,001807506;0,035761099
Waters Corporation;0,005678482;0,035693716
DENSO CORPORATION;0,072868607;0,035631535
Hongkong Land Holdings Limited;0,002782798;0,035502173
Brookfield Corporation;0,158892497;0,035472565
Carvana Co. Class A;0,056110127;0,035464974
AGCO Corporation;0,005194118;0,035418098
Clean Harbors Inc.;0,000850591;0,035252488
Asahi Kasei Corporation;0,005040539;0,035112077
Magna International Inc.;0,059099009;0,035004702
Liberty Media Corporation Series C Liberty Formula One;0,002113351;0,034977336
UCB S.A.;0,022234816;0,034922213
Twilio Inc. Class A;0,010969736;0,034866084
Zions Bancorporation NA;0,001338893;0,034865058
Fiserv Inc.;0,093257851;0,034766391
Lantheus Holdings Inc;0,000796773;0,034599093
First Quantum Minerals Ltd.;0,009659721;0,034548641
West Japan Railway Company;0,004330401;0,034342485
Novonesis A/S Class B;0,010161149;0,034316955
Protector Forsikring ASA;0,00298757;0,034316952
Yangzijiang Shipbuilding (Holdings) Ltd.;0,02170976;0,034270199
West Pharmaceutical Services Inc.;0,053575419;0,034141376
CoStar Group Inc.;0,080745762;0,034028139
Recruit Holdings Co. Ltd.;0,132146136;0,034016447
CarMax Inc.;0,003587446;0,03400601
FactSet Research Systems Inc.;0,001306077;0,033957858
CNO Financial Group Inc.;0,007186706;0,033787314
Medpace Holdings Inc.;0,001586982;0,033768485
Labcorp Holdings Inc.;0,001904641;0,033562455
Dycom Industries Inc.;0,001761563;0,033503251
Columbia Banking System Inc.;0,006368931;0,033495879
Primoris Services Corporation;0,006265233;0,03347933
Emerson Electric Co.;0,164115493;0,033464833
Transurban Group Ltd.;0,013316737;0,033441881
Cal-Maine Foods Inc.;0,005162615;0,033218421
Chocoladefabriken Lindt & Spruengli AG Partizipsch.;0,015856696;0,033130429
Clorox Company;0,000823026;0,032688264
Kuehne & Nagel International AG;0,001379585;0,032601354
NewMarket Corporation;0,005452708;0,032544414
Lithia Motors Inc.;0,005590536;0,032487889
GATX Corporation;0,011393719;0,032468883
New Gold Inc.;0,005293879;0,032440662
Avnet Inc.;0,002857618;0,032255006
Skechers U.S.A. Inc. Class A;0,001077678;0,032239236
Ingersoll Rand Inc.;0,005394952;0,032222472
Daifuku Co. Ltd.;0,061595651;0,032051605
SanDisk Corp;0,00343518;0,031981425
Kontoor Brands Inc.;0,004768823;0,031940692
Installed Building Products Inc.;0,055066578;0,031909434
Plexus Corp.;0,002818239;0,031903835
Abercrombie & Fitch Co. Class A;0,00168543;0,031833795
AptarGroup Inc.;0,004356654;0,031753428
CAE Inc.;0,06164947;0,031735546
Gap Inc.;0,001466219;0,031690212
Jack Henry & Associates Inc.;0,045652321;0,031666145
Crocs Inc.;0,001185314;0,031659356
Howden Joinery Group PLC;0,000311096;0,03141441
Mitsubishi Chemical Group Corporation;0,00803861;0,031365894
Vestas Wind Systems A/S;0,027438123;0,031165288
Fox Corporation Class B;0,057806059;0,031007899
Everus Construction Group Inc.;0,002604279;0,030946361
Cabot Corporation;0,004825266;0,030808098
Range Resources Corporation;0,0019834;0,030763742
Ipsen SA;0,018523982;0,030745781
Fresenius SE & Co. KGaA;0,10129121;0,030632376
Carrier Global Corp.;0,073668005;0,030550768
Swissquote Group Holding Ltd.;0,005019537;0,030541546
ENEOS Holdings Inc.;0,007303531;0,030391107
Mueller Water Products Inc. Class A;0,004378968;0,030384359
Commercial Metals Company;0,055032449;0,030300626
Kinsale Capital Group Inc.;0,038262155;0,030282804
Clal Insurance Enterprises Holdings Limited;0,002893059;0,030014935
Antero Resources Corporation;0,001478033;0,029981606
Gaztransport & Technigaz SA;0,016056218;0,029936662
MEG Energy Corp.;0,003051889;0,02988749
T&D Holdings Inc.;0,004146631;0,029841373
Ferrari NV;0,029316511;0,029839961
Kering SA;0,051069588;0,029813355
Just Eat Takeaway.com N.V.;0,004739945;0,029811071
Wise PLC Class A;0,002207861;0,029734856
Church & Dwight Co. Inc.;0,050012912;0,029638355
Mitsui Fudosan Co. Ltd.;0,104084509;0,029573451
Astellas Pharma Inc.;0,055378986;0,029561592
Coeur Mining Inc.;0,004502357;0,02956067
Genuine Parts Company;0,005251874;0,029553108
Fortuna Mining Corp.;0,003093893;0,02953604
Bancorp Inc;0,001741874;0,029111427
Hong Kong Exchanges & Clearing Ltd.;0,132961286;0,029049494
Fidelity National Information Services Inc.;0,085108979;0,029018581
Adyen NV;0,053630549;0,028996629
AutoNation Inc.;0,011981782;0,028823286
Mattel Inc.;0,036765745;0,028814216
Johnson Controls International plc;0,149585876;0,028802918
CSL Limited;0,093757967;0,028769959
Sun Hung Kai Properties Limited;0,000637943;0,028556079
Piper Sandler Companies;0,01266698;0,028554271
Argan Inc.;0,006082776;0,028492052
Incyte Corporation;0,059181706;0,028491267
B2Gold Corp.;0,005452708;0,028489705
News Corporation Class A;0,000425295;0,028443824
Canadian Pacific Kansas City Limited;0,074186498;0,028423465
Experian PLC;0,109030538;0,028384423
Waste Connections Inc.;0,006956994;0,028320646
STERIS plc;0,003448306;0,028314418
Endesa S.A.;0,004166321;0,028288166
JAPAN POST INSURANCE Co. Ltd.;0,011139067;0,028275882
Yum! Brands Inc.;0,097156393;0,028095332
Mohawk Industries Inc.;0,001367771;0,028094021
Alkermes Public Limited Company;0,015665051;0,028074115
GameStop Corp. Class A;0,01018609;0,028051726
Jones Lang LaSalle Incorporated;0,003113583;0,02793899
Archrock Inc.;0,004140068;0,027866191
Watsco Inc.;0,004611306;0,027782401
TTM Technologies Inc.;0,017182463;0,027702877
Fluor Corporation;0,013402059;0,027696569
Schindler Holding Ltd. Pref;0,010249096;0,027629736
Rockwell Automation Inc.;0,099688476;0,027468942
Hera S.p.A.;0,008390398;0,027461592
Lundin Mining Corporation;0,002769671;0,027305323
Orica Limited;0,007219522;0,02727542
Kesko Oyj Class B;0,01740955;0,027253548
Bank OZK;0,044594333;0,027251908
Isuzu Motors Limited;0,009391942;0,027101763
Panasonic Holdings Corporation;0,063817952;0,026976588
Becton Dickinson and Company;0,100113772;0,026934164
Amadeus IT Group SA Class A;0,090401545;0,026929506
Fortune Brands Innovations Inc.;0,053087116;0,02691448
Shimizu Corporation;0,006893987;0,026855726
Radian Group Inc.;0,004885648;0,026818771
Sika AG;0,050173055;0,026785711
Somnigroup International Inc.;0,002294495;0,026772332
Regis Resources Limited;0,001831133;0,026718644
Magnolia Oil & Gas Corp. Class A;0,008299825;0,026700492
Edison International;0,013984871;0,026638917
Fair Isaac Corporation;0,076806529;0,026453761
Comerica Incorporated;0,001428153;0,02644043
Snowflake Inc.;0,083024506;0,026425052
Thor Industries Inc.;0,01605228;0,026380206
St. James's Place Plc;0,008851134;0,026378005
Techtronic Industries Co. Ltd.;0,005450083;0,026223772
Enagas SA;0,00191908;0,026193433
WSP Global Inc;0,001415026;0,026173869
Xylem Inc.;0,004919776;0,026172688
Macy's Inc.;0,003612386;0,026150356
Louisiana-Pacific Corporation;0,001361208;0,025957677
IAMGOLD Corporation;0,003420741;0,025952094
F5 Inc.;0,096355682;0,025817264
Sanmina Corporation;0,010670454;0,025780939
QXO Inc.;0,009071658;0,025743423
Volkswagen AG Pref;0,045501367;0,025724382
SoftBank Group Corp.;0,178261819;0,025668886
Bavarian Nordic A/S;0,000497491;0,025628695
Makita Corporation;0,001320516;0,025541662
Accelleron Industries AG;0,004384219;0,025504289
Super Micro Computer Inc.;0,024734083;0,025497965
Essity AB Class B;0,004619182;0,02549382
Taylor Morrison Home Corporation;0,007077757;0,025485666
Quilter Plc;0,005031351;0,025389136
Japan Post Bank Co. Ltd.;0,001652614;0,025208832
Republic Services Inc.;0,091887454;0,02515428
SKF AB Class B;0,000543433;0,025148751
Metro Inc.;0,01629118;0,025123234
Antofagasta plc;0,002600341;0,025122981
EDP S.A.;0,005439582;0,025110713
James Hardie Industries PLC Chess Units of Foreign Securities;0,003083392;0,025103468
Partners Group Holding AG;0,004641497;0,025055233
Pernod Ricard SA;0,006485756;0,024981516
Trex Company Inc.;0,001548916;0,024967586
Mitsubishi Estate Company Limited;0,018947964;0,024848621
EPAM Systems Inc.;0,003137211;0,024819601
Pinterest Inc. Class A;0,00780496;0,024808328
Industrivarden AB Class A;0,002186859;0,024807197
Sea Limited Sponsored ADR Class A;0,085796803;0,02479302
HOYA CORPORATION;0,11175558;0,024717948
JAPAN POST HOLDINGS Co. Ltd.;0,007997918;0,024669213
Otis Worldwide Corporation;0,005296504;0,024656271
UMB Financial Corporation;0,002496642;0,024603764
Telstra Group Limited;0,081932389;0,024575435
Agilent Technologies Inc.;0,00350475;0,024573342
Royal Gold Inc.;0,007894219;0,024554766
SSR Mining Inc;0,004038995;0,0245006
Eversource Energy;0,006830981;0,02448085
Astera Labs Inc.;0,022065485;0,024442828
Qualys Inc.;0,050001099;0,02441231
Elanco Animal Health Inc.;0,024640886;0,024364791
Bureau Veritas SA;0,008562353;0,024342292
Shin-Etsu Chemical Co Ltd;0,073557744;0,024307167
Keyence Corporation;0,0564396;0,024288839
Rightmove plc;0,000387229;0,024243669
George Weston Limited;0,006399122;0,024218178
Westinghouse Air Brake Technologies Corporation;0,105075553;0,024173917
CK Hutchison Holdings Ltd;0,055413115;0,024141715
Check Point Software Technologies Ltd.;0,013685589;0,024119894
Zimmer Biomet Holdings Inc.;0,075535893;0,024114501
Pembina Pipeline Corporation;0,001953209;0,024098237
IQVIA Holdings Inc;0,088055857;0,024091299
Atmus Filtration Technologies Inc.;0,005425143;0,024066345
NKT A/S;0,005350322;0,024024659
C.H. Robinson Worldwide Inc.;0,072669086;0,023982429
MSC Industrial Direct Co. Inc. Class A;0,007149952;0,023959467
Corcept Therapeutics Incorporated.;0,010590383;0,02391926
Nippon Yusen Kabushiki Kaisha;0,00381322;0,023900269
Palomar Holdings Inc.;0,004279208;0,023878324
Boliden AB;0,001157749;0,023855189
Arkema SA;0,003488998;0,023798898
Stellantis N.V.;0,02765077;0,023760483
Cameco Corporation;0,0272281;0,023715979
EMS-CHEMIE HOLDING AG;0,013454564;0,023666173
Akamai Technologies Inc.;0,052925662;0,023627172
Workday Inc. Class A;0,082180478;0,023613223
thyssenkrupp AG;0,009983943;0,02359194
Bandai Namco Holdings Inc.;0,004577177;0,0235255
Kirin Holdings Co. Ltd.;0,072843667;0,023472344
Singapore Telecommunications Limited;0,018560735;0,02346634
Cooper Companies Inc.;0,00102911;0,023462398
Northland Power Inc.;0,007455798;0,023448955
Terna S.p.A.;0,026128107;0,023442565
Franco-Nevada Corporation;0,114913792;0,023426197
Corpay Inc.;0,086122338;0,02338756
Games Workshop Group PLC;0,073419916;0,0233569
Barratt Redrow plc;0,003716085;0,023208042
Signet Jewelers Limited;0,001195815;0,023202152
Hong Kong & China Gas Co. Ltd.;0,066066505;0,023195825
Hydro One Limited;0,005860939;0,023187227
Telephone and Data Systems Inc.;0,001863949;0,023170811
Ackermans & van Haaren NV;0,002654159;0,023113231
Renesas Electronics Corporation;0,040544837;0,023045069
Chugai Pharmaceutical Co. Ltd.;0,049535111;0,022984262
Universal Music Group N.V.;0,057275752;0,022941991
Intertek Group plc;0,007341598;0,022873033
Leonardo SpA;0,011822952;0,022858808
Bellway p.l.c.;0,001688056;0,022788252
Assicurazioni Generali S.p.A.;0,11178052;0,022749406
Raiffeisen Bank International AG;0,010965798;0,022692786
Akzo Nobel N.V.;0,059776332;0,022673425
Matador Resources Company;0,000661571;0,022664745
ASM International N.V.;0,05395871;0,022652104
Zoom Communications Inc. Class A;0,004436725;0,022642164
Kawasaki Heavy Industries Ltd.;0,002434948;0,022533591
Illumina Inc.;0,006211414;0,022533455
Avery Dennison Corporation;0,000610378;0,022496975
Sanwa Holdings Corporation;0,013592391;0,022495639
Telia Company AB;0,003063703;0,022455964
Insight Enterprises Inc.;0,003664892;0,022381417
MP Materials Corp Class A;0,003020386;0,022376667
Atlas Copco AB Class B;0,058316676;0,022309901
Allegion Public Limited Company;0,094877649;0,022253433
Daiwa Securities Group Inc.;0,077716188;0,022213916
Boise Cascade Co.;0,002097599;0,022155843
Associated British Foods plc;0,005060229;0,022149547
SITC International Holdings Co. Ltd.;0,000796773;0,022117817
Knife River Corporation;0,001571231;0,022102851
Getinge AB Class B;0,009540271;0,022018279
CVS Health Corporation;0,147837439;0,021991321
Carpenter Technology Corporation;0,010851598;0,021933865
Lamb Weston Holdings Inc.;0,001365146;0,021872787
Stora Enso Oyj Class R;0,042672627;0,02179767
Technology One Limited;0,058317988;0,021790963
Nutanix Inc. Class A;0,011535484;0,021761741
PPG Industries Inc.;0,004943404;0,02174751
Tradeweb Markets Inc. Class A;0,009637406;0,021724194
BE Semiconductor Industries N.V.;0,020353802;0,021681273
Interactive Brokers Group Inc. Class A;0,026225243;0,021577944
Crane NXT Co.;0,002383755;0,021538557
Adtalem Global Education Inc.;0,000922786;0,021526872
Perseus Mining Limited;0,00072064;0,021496231
Insurance Australia Group Ltd;0,006309862;0,021489911
Booz Allen Hamilton Holding Corporation Class A;0,027224162;0,021478514
Marubeni Corporation;0,094121568;0,021379958
Cloudflare Inc Class A;0,073482923;0,021369476
Bouygues SA;0,003500812;0,021316377
Shizuoka Financial Group Inc.;0,011926651;0,021304486
ACADIA Pharmaceuticals Inc.;0,000792835;0,021274134
Yara International ASA;0,020996996;0,021250089
APA Group;0,004504982;0,021211234
A2A S.p.A.;0,004556175;0,02117604
Wheaton Precious Metals Corp;0,127478387;0,021175682
London Stock Exchange Group plc;0,061730853;0,021157737
Alnylam Pharmaceuticals Inc;0,11386368;0,021151413
Stantec Inc;0,084459222;0,021047042
Nippon Express Holdings Inc.;0,009315809;0,021024163
InPost S.A.;0,002354877;0,021018473
Belden Inc.;0,012115671;0,021009818
Rollins Inc.;0,008931205;0,021007868
Erie Indemnity Company Class A;0,001253572;0,020998558
Deutsche Lufthansa AG;0,001891515;0,020973858
Western Digital Corporation;0,004868583;0,020864025
Aroundtown SA;0,000862405;0,020827773
Rivian Automotive Inc. Class A;0,009101849;0,02081705
Telenor ASA;0,079870231;0,02081186
Eldorado Gold Corporation;0,011262455;0,020805191
Southwest Gas Holdings Inc.;0,008298513;0,020757004
Sino Land Co. Ltd.;0,001827195;0,020746396
Kellanova;0,073700821;0,020710783
M/I Homes Inc.;0,009050656;0,0207035
Mitsui Chemicals Inc.;0,01540121;0,020698991
Willis Towers Watson Public Limited Company;0,006966183;0,020626423
PTC Inc.;0,002207861;0,020565971
H&M Hennes & Mauritz AB Class B;0,022123242;0,020542639
Essent Group Ltd.;0,004413097;0,020477843
J.M. Smucker Company;0,000418732;0,02046847
Dell Technologies Inc. Class C;0,044675717;0,020426328
Euronet Worldwide Inc.;0,035436041;0,02039323
Landstar System Inc.;0,041547694;0,020377599
Kyocera Corporation;0,077607239;0,020322926
Parkland Corporation;0,002696163;0,020277263
Bayer AG;0,069124957;0,020238199
Aberdeen Group plc;0,000380666;0,020140539
Iridium Communications Inc.;0,000427921;0,020131821
AGC Inc.;0,011964717;0,020127131
Glacier Bancorp Inc.;0,003149024;0,020090401
Namura Shipbuilding Co. Ltd.;0,000597251;0,020010689
Robert Half Inc.;0,036873382;0,020003887
Keurig Dr Pepper Inc.;0,00252552;0,019949091
Tyson Foods Inc. Class A;0,0022223;0,019903317
Clas Ohlson AB Class B;0,000748205;0,019896927
Severn Trent Plc;0,009890746;0,019894545
Sandfire Resources Ltd;0,000540808;0,019846561
International Flavors & Fragrances Inc.;0,003154275;0,019783335
Resonac Holdings Corporation;0,010407926;0,019753657
bioMerieux SA;0,017913604;0,019666137
Liberty Broadband Corp. Class C;0,003047951;0,019662843
Qorvo Inc.;0,042246019;0,019662045
Crown Holdings Inc.;0,076318226;0,019642507
Valvoline Inc.;0,014865653;0,019572349
Snam S.p.A.;0,005480274;0,019538612
CK Asset Holdings Limited;0,006720719;0,0194617
Graphic Packaging Holding Company;0,005047102;0,01939279
Ringkjobing Landbobank A/S;0,012470084;0,019380199
Swire Pacific Limited Class A;0,022702116;0,019347415
Hancock Whitney Corporation;0,002390318;0,019341192
AMP Limited;0,00191383;0,019315507
KONE Oyj Class B;0,001197128;0,019296403
Elisa Oyj Class A;0,005352948;0,019263339
Hoegh Autoliners ASA;0,000392479;0,019261829
Warrior Met Coal Inc.;0,000405606;0,019194715
Patterson-UTI Energy Inc.;0,000456799;0,019171085
Weatherford International plc;0,001040924;0,019145704
Gjensidige Forsikring ASA;0,005967263;0,019137372
Rakuten Group Inc.;0,000400355;0,019096969
RH;0,000833527;0,019062205
Griffon Corporation;0,001965023;0,019041137
Ares Management Corporation;0,013633083;0,018979175
Powell Industries Inc.;0,000900471;0,018901744
VAT Group AG;0,041677646;0,01882955
Ramelius Resources Limited;0,003483748;0,018814356
Syensqo SA/NV;0,00488171;0,018764614
Onex Corporation;0,019658103;0,018724201
United Utilities Group PLC;0,003801407;0,018714426
LEG Immobilien SE;0,001362521;0,018667885
Halozyme Therapeutics Inc.;0,001720872;0,018603795
Advantest Corp.;0,077772632;0,018570266
Sandstorm Gold Ltd.;0,001025172;0,01856836
MSCI Inc. Class A;0,065197537;0,01856703
RBC Bearings Incorporated;0,023363687;0,018565478
Spire Inc.;0,007461048;0,018491771
Customers Bancorp Inc.;0,000469925;0,01843187
Kerry Group Plc Class A;0,000880782;0,018424758
CGI Inc. Class A;0,008624048;0,018414276
TFI International Inc.;0,003973363;0,01838406
Interface Inc.;0,001866575;0,018343729
Hess Midstream LP Class A;0,014469235;0,018231803
KB Home;0,014403603;0,018228225
Roper Technologies Inc.;0,018703813;0,018189949
Lundin Gold Inc.;0,014167328;0,018115406
Meritage Homes Corporation;0,047731543;0,018106108
Restaurant Brands International Inc.;0,003302603;0,018048269
Guidewire Software Inc.;0,010985488;0,018025111
Royalty Pharma Plc Class A;0,013424374;0,017976604
Nemetschek SE;0,002827427;0,01795413
Nordnet AB;0,009955065;0,01795324
ASSA ABLOY AB Class B;0,009931437;0,01793627
Sonic Healthcare Limited;0,003252723;0,017935855
Alleima AB;0,001274574;0,017881781
FUJIFILM Holdings Corp;0,086294294;0,017864286
YETI Holdings Inc.;0,00061169;0,017855615
Orange SA;0,008184313;0,017768839
Pro Medicus Ltd.;0,01147379;0,017766435
New Jersey Resources Corporation;0,00901784;0,017765846
Sumitomo Realty & Development Co. Ltd.;0,005012974;0,017735985
Deckers Outdoor Corporation;0,005601037;0,017723315
IES Holdings Inc.;0,003502125;0,017714999
Kingspan Group Plc;0,002461201;0,017663655
Roku Inc. Class A;0,004382906;0,017663129
Toyota Industries Corp.;0,007244462;0,017638733
Norsk Hydro ASA;0,057484462;0,017636459
Mizrahi Tefahot Bank Ltd;0,022007729;0,017606002
Avanza Bank Holding AB;0,002919312;0,0175524
Scatec ASA;0,006225853;0,017436871
Coloplast A/S Class B;0,001535789;0,017423384
Baxter International Inc.;0,044852923;0,017329349
Veolia Environnement SA;0,078128357;0,017321081
Niterra Co.Ltd.;0,002370629;0,017320676
Victoria's Secret & Company;0,000219211;0,017317997
Daiwa House Industry Co. Ltd.;0,003243534;0,017317443
Ferrovial SE;0,00939063;0,017316433
Timken Company;0,012976763;0,017259334
Bechtle AG;0,001676242;0,017243545
Glanbia Plc;0,001306077;0,017201622
Kyushu Electric Power CompanyIncorporated;0,009785734;0,017166716
F.N.B. Corporation;0,01665872;0,017138019
GE Healthcare Technologies Inc.;0,050473649;0,01712636
HENSOLDT AG;0,003491624;0,017085788
Socionext Inc.;0,000887345;0,017015339
MarketAxess Holdings Inc.;0,002253804;0,016973137
Fisher & Paykel Healthcare Corporation Limited;0,004602117;0,016908211
CNX Resources Corporation;0,00168018;0,016821606
Aurizon Holdings Ltd.;0,006897925;0,016811035
Qube Holdings Ltd.;0,010591696;0,016801146
Chewy Inc. Class A;0,005282065;0,016790889
Toray Industries Inc.;0,060653176;0,01675559
Brinker International Inc.;0,005146863;0,016716979
Roblox Corp. Class A;0,074677426;0,016709404
Mowi ASA;0,00100417;0,016686126
Pegasystems Inc.;0,003622888;0,01667738
IonQ Inc.;0,011027492;0,01666585
Disco Corporation;0,017108955;0,016664076
Badger Meter Inc.;0,001295576;0,016663848
Datadog Inc. Class A;0,059999481;0,016621219
Evonik Industries AG;0,014370787;0,016607032
Franklin Resources Inc.;0,076089827;0,016570802
Porsche Automobil Holding SE Pref;0,003716085;0,016566119
Nippon Sanso Holdings Corporation;0,006771912;0,016552378
Nissan Motor Co. Ltd.;0,002845804;0,016542071
AAK AB;0,010228094;0,016498827
Murata Manufacturing Co. Ltd.;0,080707696;0,016491569
Hims & Hers Health Inc. Class A;0,009847428;0,016484976
Seiko Epson Corp.;0,006673464;0,016465694
DSV A/S;0,064795869;0,016351646
Zillow Group Inc. Class C;0,008977148;0,016336725
Capstone Copper Corp.;0,001147248;0,016324856
Doximity Inc. Class A;0,007650068;0,016281327
Kobe Steel Ltd.;0,001130183;0,016274642
Koninklijke Heijmans N.V.;0,003143774;0,016268189
Givaudan SA;0,00761594;0,016261013
United Natural Foods Inc.;0,002438886;0,016222627
Konecranes Oyj;0,020448312;0,016189988
Solvay SA;0,001807506;0,016065908
Seagate Technology Holdings PLC;0,010413176;0,016032465
Kubota Corporation;0,062045887;0,01598936
Capgemini SE;0,065866983;0,015972355
Enerflex Ltd.;0,003859163;0,015938576
Orion Oyj Class B;0,016028652;0,015929181
Capricorn Metals Ltd;0,001611922;0,015909149
FinecoBank SpA;0,004841018;0,015874021
Huntington Ingalls Industries Inc.;0,004028493;0,015816346
VeriSign Inc.;0,001845572;0,015791155
Publicis Groupe SA;0,066365787;0,015729117
Mitsui O.S.K.LinesLtd.;0,005653542;0,015693729
Estee Lauder Companies Inc. Class A;0,02449387;0,015658127
Diodes Incorporated;0,002117289;0,015654422
Otsuka Holdings Co. Ltd.;0,006391246;0,01565362
Gold Road Resources Ltd;0,000757394;0,01559801
Taylor Wimpey plc;0,003513938;0,015501718
Keppel Ltd.;0,088700363;0,015500838
Persimmon Plc;0,002626593;0,015490078
Bio-Rad Laboratories Inc. Class A;0,003118834;0,015489774
Cavco Industries Inc.;0,007111886;0,015465289
Vontier Corp;0,001182689;0,015460973
CRISPR Therapeutics AG;0,003364297;0,015360808
Credo Technology Group Holding Ltd.;0,03903005;0,015275675
Oceaneering International Inc.;0,000985793;0,015254458
Trend Micro Incorporated;0,001644738;0,015222789
Epiroc AB Class A;0,076066199;0,015204697
Universal Technical Institute Inc.;0,001836384;0,015177008
Ricoh Company Ltd.;0,019052976;0,015142789
Hologic Inc.;0,030371874;0,015087752
Banque Cantonale Vaudoise;0,008425839;0,015025477
Ameris Bancorp;0,005670607;0,015010751
Mebuki Financial Group Inc.;0,006000079;0,014977289
Exponent Inc.;0,057203557;0,014925492
Bendigo & Adelaide Bank Ltd.;0,009107099;0,014871564
Brother Industries Ltd.;0,007911284;0,014860848
TopBuild Corp.;0,002971818;0,014850341
HP Inc.;0,078784678;0,014827971
Italgas SpA;0,006204851;0,01482623
Ajinomoto Co. Inc.;0,004146631;0,014824298
JBT Marel Corporation;0,007581811;0,014779863
WD-40 Company;0,006855921;0,014730441
BioMarin Pharmaceutical Inc.;0,002205236;0,014728981
SCREEN Holdings Co. Ltd;0,001060613;0,014716913
Brunswick Corporation;0,010603509;0,014716657
Associated Banc-Corp;0,07905902;0,014612783
Secom Co. Ltd.;0,027208411;0,014594005
Jet2 PLC;0,001441279;0,01458707
Home BancShares Inc.;0,010250409;0,014577181
DXC Technology Co.;0,000585438;0,014561854
Addtech AB Class B;0,001929581;0,014497437
Chiba Bank Ltd.;0,020319674;0,014487912
Dexerials Corp.;0,000426608;0,014455891
Toro Company;0,008663427;0,014454732
Littelfuse Inc.;0,000900471;0,014404746
Sapporo Holdings Limited;0,046964961;0,014378586
Align Technology Inc.;0,010606135;0,014351258
TBC Bank Group Plc;0,00168018;0,014350251
Ball Corporation;0,004000928;0,01434324
Dassault Systemes SE;0,04412572;0,014305404
Metso Corporation;0,001019922;0,014262527
Penumbra Inc.;0,005436957;0,014251853
Thales SA;0,001630299;0,014222944
Computershare Limited;0,006676089;0,014194013
Huhtamaki Oyj;0,001505599;0,014191661
WEX Inc.;0,057241623;0,014178237
Bentley Systems Incorporated Class B;0,070898334;0,014138882
Equifax Inc.;0,084409342;0,014131266
U-Haul Holding Company Series N Non-Voting;0,018961091;0,014103754
Valley National Bancorp;0,013535948;0,014071447
Merck KGaA;0,011577488;0,014066055
South Bow Corp;0,005830749;0,013988835
Odakyu Electric Railway Co. Ltd.;0,025960089;0,013974167
Whitbread PLC;0,00025859;0,013923453
Investec plc;0,008857698;0,013919089
SUMCO Corporation;0,004539111;0,013909586
SSAB AB Class B;0,014870903;0,013895282
Flowers Foods Inc.;0,01138453;0,013879288
Trade Desk Inc. Class A;0,041886356;0,013864822
Fastighets AB Balder Class B;0,001542352;0,013861782
Amundi SA;0,009479889;0,013847159
ASMPT Limited;0,001586982;0,013841063
Chemed Corporation;0,004713692;0,01380977
D'Ieteren Group SA/NV;0,009411632;0,013806046
Dutch Bros Inc. Class A;0,012109108;0,013797435
Cochlear Limited;0,001777315;0,013780937
Applied Digital Corporation;0,003130647;0,013778673
Wilmar International Limited;0,015255507;0,013740863
Qantas Airways Limited;0,003487686;0,013708145
Straumann Holding AG;0,001602734;0,013694341
American Eagle Outfitters Inc.;0,001012046;0,013676485
SM Energy Company;0,001551541;0,013573786
White Mountains Insurance Group Ltd;0,006376807;0,013570468
Johnson Matthey Plc;0,001999151;0,013491165
Dyno Nobel Limited;0,00166049;0,013488372
Open Text Corporation;0,05209476;0,013435086
Service Corporation International;0,004741257;0,013420348
Dover Corporation;0,09107493;0,013391586
Natera Inc.;0,015403835;0,013372215
Oji Holdings Corp.;0,010317354;0,013364317
Duolingo Inc. Class A;0,013629145;0,01334672
Weir Group PLC;0,001114432;0,013329531
SSE PLC;0,005851751;0,013307434
Beiersdorf AG;0,005545906;0,013262813
Isetan Mitsukoshi Holdings Ltd.;0,011216512;0,013248458
Murphy Oil Corporation;0,036571475;0,01321898
Solventum Corporation;0,006199601;0,013205917
Contact Energy Limited;0,065206725;0,013153841
Premium Brands Holdings Corp;0,003078142;0,013145991
USS Co. Ltd.;0,005216433;0,013127055
CapitaLand Investment Limited;0,053293201;0,013064462
General Mills Inc.;0,044109968;0,013014198
NOV Inc.;0,000672072;0,013000891
United Bankshares Inc.;0,00306239;0,012975856
